Käyttöönottovuosi,Merkki,Malli,Katsastusten lukumäärä,Hylkäys-%,Ajettujen kilometrien keskiarvo,Ajettujen kilometrien mediaani,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy,Kolmanneksi yleisin hylkäyssyy
2007,Ford,FOCUS C-MAX,321,26.79,195000,183000,Etuakselisto,"Jousitus ja
iskunvaimennus",Käyttöjarru
2007,Ford,GALAXY,184,27.72,275000,266000,Taka-akselisto,"Bensiinimoottorin
pakokaasumittaus","Ohjausnivelet ja
-tangot"
2007,Ford,KA,145,33.79,102000,98000,"Jousitus ja
iskunvaimennus","Alustan kotelot ja
pohjalevy",Etuakselisto
2007,Ford,MONDEO,2736,27.7,253000,244000,Taka-akselisto,"Jousitus ja
iskunvaimennus","Dieselmoottorin
pakokaasumittaus"
2007,Ford,MUSTANG,126,9.52,115000,107000,,,
2007,Ford,S-MAX,608,27.47,252000,240000,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus","Ohjausnivelet ja
-tangot"
2007,Ford,"TOURNEO
CONNECT",114,37.72,249000,236000,"Alustan kotelot ja
pohjalevy",,
2007,Honda,Mallit yhteensä,6915,20.03,208000,201000,"Jousitus ja
iskunvaimennus",Käyttöjarru,Etuakselisto
2007,Honda,ACCORD,1443,26.2,240000,232000,Etuakselisto,Käyttöjarru,"Seisontajarrun
dynamometritesti"
2007,Honda,CIVIC,2026,20.53,171000,167000,"Jousitus ja
iskunvaimennus",Käyttöjarru,"Käyttöjarrun
dynamometritesti"
2007,Honda,CR-V,2904,17.32,225000,218000,"Ohjausnivelet ja
-tangot","Jousitus ja
iskunvaimennus",Käyttöjarru
2007,Honda,FR-V,248,17.34,211000,207000,,,
2007,Honda,JAZZ,263,15.97,136000,133000,Käyttöjarru,"Seisontajarrun
dynamometritesti","Käyttöjarrun
dynamometritesti"
2007,Hyundai,Mallit yhteensä,2655,22.9,168000,153000,"Seisontajarrun
dynamometritesti",Etuakselisto,Käyttöjarru
2007,Hyundai,GETZ,1296,14.04,128000,120000,"Käyttöjarrun
dynamometritesti",Etuakselisto,"Sisäinen
valvontajärjestelmä
(OBD)"
2007,Hyundai,I30,151,33.77,173000,158000,Taka-akselisto,"Käyttöjarrun
dynamometritesti","Seisontajarrun
dynamometritesti"
2007,Hyundai,SANTA FE,250,33.2,254000,252000,Etuakselisto,"Seisontajarrun
dynamometritesti",Taka-akselisto
2007,Hyundai,SONATA,398,34.42,235000,217000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Käyttöjarrun
dynamometritesti"
2007,Hyundai,TUCSON,253,22.13,185000,180000,Etuakselisto,"Jousitus ja
iskunvaimennus",Käyttöjarru
2007,Jaguar,Mallit yhteensä,298,29.53,183000,172000,Taka-akselisto,Etuakselisto,"Alustan kotelot ja
pohjalevy"
2007,Jaguar,S-TYPE,116,25,178000,165000,,,
2007,Jaguar,X-TYPE,145,40,207000,204000,Taka-akselisto,"Dieselmoottorin
pakokaasumittaus",
2007,Jeep,Mallit yhteensä,636,40.57,225000,217000,Taka-akselisto,Etuakselisto,"Seisontajarrun
dynamometritesti"
2007,Jeep,CHEROKEE,255,29.02,244000,234000,"Seisontajarrun
dynamometritesti",Etuakselisto,Asiapaperit
2007,Jeep,COMPASS,173,56.65,205000,198000,Taka-akselisto,Etuakselisto,"Ohjausnivelet ja
-tangot"
2007,Jeep,PATRIOT,111,52.25,195000,182000,Taka-akselisto,Etuakselisto,
2007,Kia,Mallit yhteensä,5042,31.3,191000,182000,"Seisontajarrun
dynamometritesti",Etuakselisto,Käyttöjarru
2007,Kia,CARENS,163,37.42,197000,189000,"Seisontajarrun
dynamometritesti",Taka-akselisto,Etuakselisto
2007,Kia,CARNIVAL,134,47.76,257000,250000,"Jousitus ja
iskunvaimennus",Taka-akselisto,Etuakselisto
2007,Kia,CEED,2416,33.77,193000,184000,Taka-akselisto,"Käyttöjarrun
dynamometritesti","Seisontajarrun
dynamometritesti"
2007,Kia,CERATO,684,22.37,158000,151000,Käyttöjarru,"Seisontajarrun
dynamometritesti","Käyttöjarrun
dynamometritesti"
2007,Kia,MAGENTIS,130,26.92,195000,184000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Käyttöjarrun
dynamometritesti"
2007,Kia,PICANTO,162,23.46,114000,112000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Käyttöjarrun
dynamometritesti"
2007,Kia,RIO,202,27.72,135000,130000,Käyttöjarru,"Seisontajarrun
dynamometritesti",
2007,Kia,SORENTO,360,33.61,264000,260000,"Seisontajarrun
dynamometritesti",Etuakselisto,Käyttöjarru
2007,Kia,SPORTAGE,691,29.81,199000,188000,Etuakselisto,Käyttöjarru,"Jousitus ja
iskunvaimennus"
2007,Lada,Mallit yhteensä,124,37.9,80000,69000,Etuakselisto,"Sisäinen
valvontajärjestelmä
(OBD)","Käyttöjarrun
dynamometritesti"
2007,Land Rover,Mallit yhteensä,578,22.84,248000,245000,Taka-akselisto,Etuakselisto,"Ohjausnivelet ja
-tangot"
2007,Land Rover,DISCOVERY,143,28.67,271000,265000,Taka-akselisto,Etuakselisto,"Ohjausnivelet ja
-tangot"
2007,Land Rover,FREELANDER,192,20.83,247000,248000,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2007,Land Rover,"RANGE ROVER
SPORT",181,18.78,242000,234000,"Jousitus ja
iskunvaimennus",Etuakselisto,Taka-akselisto
2007,Lexus,Mallit yhteensä,438,17.58,219000,207000,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus",Käyttöjarru
2007,Lexus,IS250,124,12.1,202000,188000,,,
2007,Lexus,RX400H,136,21.32,220000,217000,,,
2007,Mazda,Mallit yhteensä,4347,26.09,194000,191000,Etuakselisto,"Jousitus ja
iskunvaimennus",Käyttöjarru
2007,Mazda,2,159,14.47,136000,128000,,,
2007,Mazda,3,887,30.89,165000,163000,Etuakselisto,"Jousitus ja
iskunvaimennus","Sisäinen
valvontajärjestelmä
(OBD)"
2007,Mazda,5,417,40.05,209000,207000,Etuakselisto,"Bensiinimoottorin
pakokaasumittaus","Jousitus ja
iskunvaimennus"
2007,Mazda,6,2708,22.97,207000,202000,Käyttöjarru,"Käyttöjarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2007,Mazda,CX-7,130,34.62,186000,187000,"Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot","Sisäinen
valvontajärjestelmä
(OBD)"
2007,Mercedes-Benz,Mallit yhteensä,8125,30.42,257000,241000,Etuakselisto,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti"
2007,Mercedes-Benz,A,413,19.85,153000,142000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti","Käyttöjarrun
dynamometritesti"
2007,Mercedes-Benz,B,321,33.64,197000,190000,Etuakselisto,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti"
2007,Mercedes-Benz,C,2784,32.79,232000,219000,Etuakselisto,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2007,Mercedes-Benz,CLS,159,23.27,221000,216000,"Ohjausnivelet ja
-tangot",Etuakselisto,"Seisontajarrun
dynamometritesti"
2007,Mercedes-Benz,E,2235,33.65,316000,296000,Etuakselisto,"Ohjausnivelet ja
-tangot","Jousitus ja
iskunvaimennus"
2007,Mercedes-Benz,GL,228,21.49,267000,265000,"Jousitus ja
iskunvaimennus",Käyttöjarru,"Seisontajarrun
dynamometritesti"
2007,Mercedes-Benz,M,752,21.81,265000,251000,"Jousitus ja
iskunvaimennus",Käyttöjarru,"Seisontajarrun
dynamometritesti"
2007,Mercedes-Benz,R,322,25.78,254000,249000,Käyttöjarru,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti"
2007,Mercedes-Benz,S,290,24.48,236000,233000,Etuakselisto,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2007,Mercedes-Benz,VIANO,102,39.22,286000,283000,"Seisontajarrun
dynamometritesti",Etuakselisto,"Ohjausnivelet ja
-tangot"
2007,Mercedes-Benz,VITO,159,44.65,328000,293000,"Seisontajarrun
dynamometritesti",Etuakselisto,"Jousitus ja
iskunvaimennus"
2007,Mini,Mallit yhteensä,308,22.08,140000,137000,"Bensiinimoottorin
pakokaasumittaus","Sisäinen
valvontajärjestelmä
(OBD)","Jousitus ja
iskunvaimennus"
2007,Mini,COOPER,300,21,140000,136000,"Bensiinimoottorin
pakokaasumittaus","Sisäinen
valvontajärjestelmä
(OBD)","Jousitus ja
iskunvaimennus"
2007,Mitsubishi,Mallit yhteensä,1372,28.79,223000,212000,Etuakselisto,"Ohjausnivelet ja
-tangot",Taka-akselisto
2007,Mitsubishi,COLT,169,14.2,141000,136000,,,
2007,Mitsubishi,GRANDIS,129,33.33,277000,266000,Käyttöjarru,Etuakselisto,"Ohjausnivelet ja
-tangot"
2007,Mitsubishi,LANCER,334,24.55,171000,169000,"Ohjausnivelet ja
-tangot",Taka-akselisto,Käyttöjarru
2007,Mitsubishi,OUTLANDER,535,35.33,255000,243000,Etuakselisto,Taka-akselisto,"Ohjausnivelet ja
-tangot"
2007,Mitsubishi,PAJERO,197,26.9,263000,256000,"Ohjausnivelet ja
-tangot",Etuakselisto,Taka-akselisto
2007,Nissan,Mallit yhteensä,6703,31.34,185000,179000,Etuakselisto,"Ohjausnivelet ja
-tangot",Käyttöjarru
2007,Nissan,ALMERA,393,20.87,148000,147000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Käyttöjarrun
dynamometritesti"
2007,Nissan,MICRA,710,24.51,132000,125000,Etuakselisto,"Ohjausnivelet ja
-tangot",Käyttöjarru
2007,Nissan,NOTE,1103,27.83,167000,162000,Etuakselisto,"Jousitus ja
iskunvaimennus",Käyttöjarru
2007,Nissan,PATHFINDER,154,46.1,314000,292000,Taka-akselisto,Etuakselisto,Käyttöjarru
2007,Nissan,PRIMERA,2004,31.04,189000,189000,Etuakselisto,"Ohjausnivelet ja
-tangot",Käyttöjarru
2007,Nissan,QASHQAI,1268,41.72,216000,208000,Etuakselisto,"Ohjausnivelet ja
-tangot",Käyttöjarru
2007,Nissan,TIIDA,398,23.87,154000,148000,Etuakselisto,Käyttöjarru,"Seisontajarrun
dynamometritesti"
2007,Nissan,X-TRAIL,587,34.07,219000,216000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2007,Opel,Mallit yhteensä,5327,31.84,197000,190000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti",Käyttöjarru
2007,Opel,ASTRA,2386,33.61,198000,193000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2007,Opel,CORSA,1010,23.76,145000,138000,"Jousitus ja
iskunvaimennus","Ohjausnivelet ja
-tangot","Sisäinen
valvontajärjestelmä
(OBD)"
2007,Opel,MERIVA,113,30.97,156000,153000,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus",
2007,Opel,VECTRA,1129,30.2,225000,220000,"Jousitus ja
iskunvaimennus",Käyttöjarru,Etuakselisto
2007,Opel,ZAFIRA,508,43.7,245000,240000,Etuakselisto,"Jousitus ja
iskunvaimennus","Ohjausnivelet ja
-tangot"
2007,Peugeot,Mallit yhteensä,5672,28.14,180000,169000,Etuakselisto,"Ohjausnivelet ja
-tangot",Käyttöjarru
2007,Peugeot,107,185,15.14,131000,111000,,,
2007,Peugeot,206,490,24.08,133000,125000,Etuakselisto,"Ohjausnivelet ja
-tangot","Jousitus ja
iskunvaimennus"
2007,Peugeot,207,1550,29.23,146000,139000,Etuakselisto,"Käyttöjarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2007,Peugeot,307,1916,30.85,197000,189000,"Ohjausnivelet ja
-tangot",Etuakselisto,Käyttöjarru
2007,Peugeot,407,1295,23.94,212000,202000,Etuakselisto,Käyttöjarru,"Käyttöjarrun
dynamometritesti"
2007,Porsche,Mallit yhteensä,255,10.98,129000,120000,"Sisäinen
valvontajärjestelmä
(OBD)",,
2007,Porsche,CAYENNE,108,11.11,180000,179000,,,
2007,Renault,Mallit yhteensä,1821,40.75,179000,175000,Etuakselisto,"Ohjausnivelet ja
-tangot","Jousitus ja
iskunvaimennus"
2007,Renault,CLIO,355,34.65,136000,130000,"Ohjausnivelet ja
-tangot",Etuakselisto,"Jousitus ja
iskunvaimennus"
2007,Renault,LAGUNA,137,37.96,198000,194000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2007,Renault,MEGANE,627,44.98,186000,179000,Etuakselisto,"Ohjausnivelet ja
-tangot","Jousitus ja
iskunvaimennus"
2007,Renault,MEGANE SCENIC,531,41.43,199000,196000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2007,Saab,Mallit yhteensä,1952,20.39,219000,210000,Taka-akselisto,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti"
2007,Saab,9-3,1221,21.21,217000,209000,"Jousitus ja
iskunvaimennus",Taka-akselisto,Käyttöjarru
2007,Saab,9-5,727,19.12,222000,210000,Taka-akselisto,"Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2007,Seat,Mallit yhteensä,1405,26.12,219000,204000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti",Käyttöjarru
2007,Seat,ALTEA XL,500,27.8,247000,243000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti",
2007,Seat,IBIZA,284,26.76,162000,160000,Käyttöjarru,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2007,Seat,LEON,419,22.43,211000,196000,"Jousitus ja
iskunvaimennus",Käyttöjarru,"Seisontajarrun
dynamometritesti"
2007,Skoda,Mallit yhteensä,5726,22.34,242000,234000,"Jousitus ja
iskunvaimennus","Käyttöjarrun
dynamometritesti","Seisontajarrun
dynamometritesti"
2007,Skoda,FABIA,1014,23.67,176000,164000,"Käyttöjarrun
dynamometritesti","Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2007,Skoda,OCTAVIA,3895,20.77,264000,258000,"Jousitus ja
iskunvaimennus",Etuakselisto,"Käyttöjarrun
dynamometritesti"
2007,Skoda,ROOMSTER,663,28.81,211000,202000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Jousitus ja
iskunvaimennus"
2007,Skoda,SUPERB,153,25.49,255000,248000,Etuakselisto,,
2007,Subaru,Mallit yhteensä,876,14.27,188000,187000,"Jousitus ja
iskunvaimennus",,
2007,Subaru,FORESTER,287,10.45,186000,183000,"Jousitus ja
iskunvaimennus",,
2007,Subaru,IMPREZA,213,19.25,163000,159000,"Jousitus ja
iskunvaimennus","Bensiinimoottorin
pakokaasumittaus","Sisäinen
valvontajärjestelmä
(OBD)"
2007,Subaru,LEGACY,360,14.17,206000,204000,Etuakselisto,Käyttöjarru,
2007,Suzuki,Mallit yhteensä,1078,18.74,162000,158000,Etuakselisto,"Jousitus ja
iskunvaimennus","Käyttöjarrun
dynamometritesti"
2007,Suzuki,GRAND VITARA,320,8.75,187000,186000,,,
2007,Suzuki,LIANA,135,26.67,143000,137000,Etuakselisto,,
2007,Suzuki,SWIFT,233,22.32,139000,131000,Etuakselisto,,
2007,Suzuki,SX4,323,22.29,169000,164000,Etuakselisto,"Jousitus ja
iskunvaimennus",
2007,Toyota,Mallit yhteensä,17317,13.73,196000,183000,Käyttöjarru,"Seisontajarrun
dynamometritesti","Käyttöjarrun
dynamometritesti"
2007,Toyota,AURIS,2572,11.98,168000,161000,Käyttöjarru,"Seisontajarrun
dynamometritesti","Käyttöjarrun
dynamometritesti"
2007,Toyota,AVENSIS,3349,15.44,230000,216000,"Seisontajarrun
dynamometritesti",Etuakselisto,"Käyttöjarrun
dynamometritesti"
2007,Toyota,AYGO,435,19.08,122000,121000,"Alustan kotelot ja
pohjalevy","Käyttöjarrun
dynamometritesti",Etuakselisto
2007,Toyota,COROLLA,5178,10.64,180000,171000,Käyttöjarru,"Käyttöjarrun
dynamometritesti","Seisontajarrun
dynamometritesti"
2007,Toyota,"COROLLA
VERSO",1763,13.67,239000,224000,"Seisontajarrun
dynamometritesti",Renkaat ja vanteet,Käyttöjarru
2007,Toyota,HIACE,148,20.95,358000,333000,Etuakselisto,"Jousitus ja
iskunvaimennus","Turvavyöt ja
-varusteet"
2007,Toyota,LAND CRUISER,440,15,298000,292000,"Seisontajarrun
dynamometritesti",Etuakselisto,"Jousitus ja
iskunvaimennus"
2007,Toyota,PRIUS,163,18.4,210000,197000,Käyttöjarru,,
2007,Toyota,RAV4,1183,17.24,223000,216000,"Jousitus ja
iskunvaimennus",Taka-akselisto,Käyttöjarru
2007,Toyota,YARIS,2056,16.73,147000,136000,"Jousitus ja
iskunvaimennus",Taka-akselisto,"Käyttöjarrun
dynamometritesti"
2007,Volkswagen,Mallit yhteensä,14008,23.44,225000,212000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti","Käyttöjarrun
dynamometritesti"
2007,Volkswagen,CADDY,243,24.69,226000,216000,"Jousitus ja
iskunvaimennus",Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2007,Volkswagen,CARAVELLE,131,28.24,260000,245000,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti",Käyttöjarru
2007,Volkswagen,GOLF,3202,19.96,198000,186000,"Jousitus ja
iskunvaimennus","Käyttöjarrun
dynamometritesti","Alustan kotelot ja
pohjalevy"
2007,Volkswagen,GOLF PLUS,1058,21.36,174000,161000,"Jousitus ja
iskunvaimennus","Bensiinimoottorin
pakokaasumittaus","Alustan kotelot ja
pohjalevy"
2007,Volkswagen,JETTA,1669,26.78,208000,199000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti",Käyttöjarru
2007,Volkswagen,NEW BEETLE,236,22.03,143000,135000,"Sisäinen
valvontajärjestelmä
(OBD)",,
2007,Volkswagen,PASSAT,3715,23.61,283000,281000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti",Renkaat ja vanteet
2007,Volkswagen,POLO,1390,20.94,148000,138000,"Käyttöjarrun
dynamometritesti","Seisontajarrun
dynamometritesti",Etuakselisto
2007,Volkswagen,TOUAREG,194,20.62,260000,248000,Käyttöjarru,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti"
2007,Volkswagen,TOURAN,1700,28.65,239000,228000,"Jousitus ja
iskunvaimennus","Bensiinimoottorin
pakokaasumittaus","Käyttöjarrun
dynamometritesti"
2007,Volkswagen,TRANSPORTER,305,30.49,368000,343000,"Seisontajarrun
dynamometritesti",Etuakselisto,"Jousitus ja
iskunvaimennus"
2007,Volvo,Mallit yhteensä,11600,24.19,244000,231000,Etuakselisto,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2007,Volvo,C30,887,23.11,162000,156000,Etuakselisto,"Jousitus ja
iskunvaimennus",Renkaat ja vanteet
2007,Volvo,C70,148,21.62,171000,166000,Etuakselisto,,
2007,Volvo,S40,889,18.9,179000,171000,Etuakselisto,"Jousitus ja
iskunvaimennus",Käyttöjarru
2007,Volvo,S60,972,21.71,221000,212000,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus",Käyttöjarru
2007,Volvo,S80,1190,21.51,259000,243000,"Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot",Taka-akselisto
2007,Volvo,V50,1761,25.38,226000,218000,Etuakselisto,"Jousitus ja
iskunvaimennus",Käyttöjarru
2007,Volvo,V70,4195,25.48,277000,261000,"Seisontajarrun
dynamometritesti",Käyttöjarru,Etuakselisto
2007,Volvo,XC70,833,20.29,278000,272000,"Ohjausnivelet ja
-tangot",Käyttöjarru,Etuakselisto
2007,Volvo,XC90,722,34.35,264000,257000,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus",Käyttöjarru
2008,Merkit yhteensä,Mallit yhteensä,150324,23.16,209000,200000,Etuakselisto,"Jousitus ja
iskunvaimennus",Käyttöjarru
2008,Alfa Romeo,Mallit yhteensä,293,38.23,176000,173000,Etuakselisto,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
